>Feature	Ctg44_length_309375			
528157	529647	gene		
			locus_tag	LWC14_00258
529647	528157	CDS		
			product	hypothetical protein, conserved
530338	531714	gene		
			locus_tag	LWC14_00259
531714	530338	CDS		
			product	ruvB-like DNA helicase, putative
99003	100436	gene		
			locus_tag	LWC14_00260
99003	100436	CDS		
			product	phosphatidylserine decarboxylase, putative
100771	101718	gene		
			locus_tag	LWC14_00261
100771	101718	CDS		
			product	hypothetical protein, conserved
456225	456560	gene		
			locus_tag	LWC14_00262
456560	456225	CDS		
			product	small nuclear ribonucleoprotein sm d3
457107	457796	gene		
			locus_tag	LWC14_00263
457796	457107	CDS		
			product	hypothetical protein
151900	155085	gene		
			locus_tag	LWC14_00264
151900	155085	CDS		
			product	hypothetical protein, conserved
155702	156859	gene		
			locus_tag	LWC14_00265
155702	156859	CDS		
			product	TPR repeat/Tetratricopeptide repeat, putative
80815	81615	gene		
			locus_tag	LWC14_00266
80815	81615	CDS		
			product	MICOS complex subunit MIC60
81903	82589	gene		
			locus_tag	LWC14_00267
81903	82589	CDS		
			product	hypothetical protein
516089	517222	gene		
			locus_tag	LWC14_00268
517222	516089	CDS		
			product	ankyrin, putative
286708	289398	gene		
			locus_tag	LWC14_00269
289398	286708	CDS		
			product	hypothetical protein
290530	291879	gene		
			locus_tag	LWC14_00270
291879	290530	CDS		
			product	hypothetical protein
501841	502428	gene		
			locus_tag	LWC14_00271
502428	501841	CDS		
			product	Complex 1 protein (LYR family), putative
503830	505176	gene		
			locus_tag	LWC14_00272
505176	503830	CDS		
			product	adenosine kinase, putative
472670	473677	gene		
			locus_tag	LWC14_00273
473677	472670	CDS		
			product	hypothetical protein, conserved
476414	476866	gene		
			locus_tag	LWC14_00274
476866	476414	CDS		
			product	hypothetical protein, conserved
78136	79173	gene		
			locus_tag	LWC14_00275
78136	79173	CDS		
			product	Co-chaperone protein P23
80064	80318	gene		
			locus_tag	LWC14_00276
80064	80318	CDS		
			product	anaphase-promoting complex subunit 11
241428	243764	gene		
			locus_tag	LWC14_00277
241428	243764	CDS		
			product	hypothetical protein, conserved
244225	246456	gene		
			locus_tag	LWC14_00278
244225	246456	CDS		
			product	hypothetical protein, conserved
481716	482234	gene		
			locus_tag	LWC14_00279
482234	481716	CDS		
			product	hypothetical protein, conserved
482597	484333	gene		
			locus_tag	LWC14_00280
484333	482597	CDS		
			product	inositol-pentakisphosphate 2-kinase
569340	569924	gene		
			locus_tag	LWC14_00281
569924	569340	CDS		
			product	Mitoribosomal SSU assembly factor 31
570265	570876	gene		
			locus_tag	LWC14_00282
570876	570265	CDS		
			product	D-Tyr-tRNA(Tyr) deacylase, putative
426764	428263	gene		
			locus_tag	LWC14_00283
428263	426764	CDS		
			product	TFIIF-stimulated CTD phosphatase, putative
429179	429469	gene		
			locus_tag	LWC14_00284
429469	429179	CDS		
			product	cytochrome c oxidase assembly protein PET191, putative
283509	284975	gene		
			locus_tag	LWC14_00285
283509	284975	CDS		
			product	diacylglycerol kinase, putative
259166	259465	gene		
			locus_tag	LWC14_00286
259166	259465	CDS		
			product	hypothetical protein, conserved
260941	262290	gene		
			locus_tag	LWC14_00287
260941	262290	CDS		
			product	WD domain, G-beta repeat, putative
604303	605070	gene		
			locus_tag	LWC14_00288
605070	604303	CDS		
			product	Simiate family protein, putative
87012	90503	gene		
			locus_tag	LWC14_00289
87012	90503	CDS		
			product	Uncharacterised conserved protein, putative
91086	94721	gene		
			locus_tag	LWC14_00290
91086	94721	CDS		
			product	SET domain-containing protein, putative
378659	382408	gene		
			locus_tag	LWC14_00291
382408	378659	CDS		
			product	ubiquitin carboxyl-terminal hydrolase, putative
383236	385755	gene		
			locus_tag	LWC14_00292
385755	383236	CDS		
			product	conserved protein, unknown function
586885	589395	gene		
			locus_tag	LWC14_00293
589395	586885	CDS		
			product	hypothetical protein, conserved
128856	130085	gene		
			locus_tag	LWC14_00294
128856	130085	CDS		
			product	peptidyl-prolyl cis-trans isomerase (cyclophilin- 40), putative
130750	131415	gene		
			locus_tag	LWC14_00295
130750	131415	CDS		
			product	membrane- trafficking protein, putative
214034	215908	gene		
			locus_tag	LWC14_00296
214034	215908	CDS		
			product	hypothetical protein, conserved
216501	217304	gene		
			locus_tag	LWC14_00297
216501	217304	CDS		
			product	hypothetical protein, conserved
524223	524313	gene		
			locus_tag	LWC14_07286
524223	524313	tRNA		
			product	tRNA-Tyr(gta)
>Feature	Ctg72_length_72729			
18404	19906	gene		
			locus_tag	LWC14_00298
18404	19906	CDS		
			product	hypothetical protein, conserved
47066	51175	gene		
			locus_tag	LWC14_00299
47066	51175	CDS		
			product	wee1-like protein kinase
64812	67433	gene		
			locus_tag	LWC14_00300
64812	67433	CDS		
			product	tuzin, putative
52423	55836	gene		
			locus_tag	LWC14_00301
52423	55836	CDS		
			product	selenoprotein, putative
28391	29260	gene		
			locus_tag	LWC14_00302
28391	29260	CDS		
			product	translation elongation factor 1-beta, putative
32953	33618	gene		
			locus_tag	LWC14_00303
32953	33618	CDS		
			product	60S ribosomal protein L13a, putative
14737	15576	gene		
			locus_tag	LWC14_00304
14737	15576	CDS		
			product	protein phosphatase 2C, putative
40615	41247	gene		
			locus_tag	LWC14_00305
40615	41247	CDS		
			product	DNA-directed RNA polymerase subunit, putative
61715	63775	gene		
			locus_tag	LWC14_00306
61715	63775	CDS		
			product	tuzin, putative
36367	40245	gene		
			locus_tag	LWC14_00307
36367	40245	CDS		
			product	hypothetical protein, conserved
30920	32215	gene		
			locus_tag	LWC14_00308
30920	32215	CDS		
			product	protein phoshatase 1, putative
26035	26337	gene		
			locus_tag	LWC14_00309
26035	26337	CDS		
			product	hypothetical protein
56648	58585	gene		
			locus_tag	LWC14_00310
56648	58585	CDS		
			product	tuzin, putative
20764	22341	gene		
			locus_tag	LWC14_00311
20764	22341	CDS		
			product	hypothetical protein
6468	8510	gene		
			locus_tag	LWC14_00312
6468	8510	CDS		
			product	Uncharacterized conserved protein (DUF2039), putative
27453	27671	gene		
			locus_tag	LWC14_00313
27453	27671	CDS		
			product	translation elongation factor 1-beta, putative
9061	11712	gene		
			locus_tag	LWC14_00314
9061	11712	CDS		
			product	hypothetical protein, conserved
22937	23845	gene		
			locus_tag	LWC14_00315
22937	23845	CDS		
			product	serine threonine-protein phosphatase PP1, putative
59019	61145	gene		
			locus_tag	LWC14_00316
59019	61145	CDS		
			product	tuzin, putative
34342	35712	gene		
			locus_tag	LWC14_00317
34342	35712	CDS		
			product	hypothetical protein, conserved
16267	17769	gene		
			locus_tag	LWC14_00318
16267	17769	CDS		
			product	CBF/Mak21 family, putative
42211	43395	gene		
			locus_tag	LWC14_00319
42211	43395	CDS		
			product	ubiquitin-conjugating enzyme E2, putative
12513	13961	gene		
			locus_tag	LWC14_00320
12513	13961	CDS		
			product	Mitochondrial SSU ribosomal protein, putative
69936	70565	gene		
			locus_tag	LWC14_00321
69936	70565	CDS		
			product	hypothetical protein
44518	44874	gene		
			locus_tag	LWC14_00322
44518	44874	CDS		
			product	Mitochondrial ATP synthase subunit, putative
45870	46226	gene		
			locus_tag	LWC14_00323
45870	46226	CDS		
			product	Mitochondrial import inner membrane translocase subunit TIM12
>Feature	Ctg23_length_185313			
76733	78298	gene		
			locus_tag	LWC14_00324
76733	78298	CDS		
			product	RNA-binding protein, putative
127325	131467	gene		
			locus_tag	LWC14_00325
127325	131467	CDS		
			product	SSU ribosomal protein, mitochondrial, putative
14695	15636	gene		
			locus_tag	LWC14_00326
14695	15636	CDS		
			product	protein phosphatase 2C, putative
141700	144339	gene		
			locus_tag	LWC14_00327
141700	144339	CDS		
			product	paraflagellar rod protein 5, putative
94469	95473	gene		
			locus_tag	LWC14_00328
94469	95473	CDS		
			product	mitochondrial carrier protein
42173	42451	gene		
			locus_tag	LWC14_00329
42173	42451	CDS		
			product	unspecified product
38116	39354	gene		
			locus_tag	LWC14_00330
38116	39354	CDS		
			product	EMG1/NEP1 methyltransferase, putative
124118	124585	gene		
			locus_tag	LWC14_00331
124118	124585	CDS		
			product	hypothetical protein, conserved
96083	97567	gene		
			locus_tag	LWC14_00332
96083	97567	CDS		
			product	alkyl-dihydroxyacetone phosphate synthase
71078	72214	gene		
			locus_tag	LWC14_00333
71078	72214	CDS		
			product	Ras-related protein RAB2B, putative
54218	55381	gene		
			locus_tag	LWC14_00334
54218	55381	CDS		
			product	TFIIF-stimulated CTD phosphatase, putative
135705	137378	gene		
			locus_tag	LWC14_00335
135705	137378	CDS		
			product	NADH dehydrogenase (ubiquinone) 1 alpha subcomplex subunit, putative
125536	126312	gene		
			locus_tag	LWC14_00336
125536	126312	CDS		
			product	Eukaryotic protein of unknown function (DUF846), putative
39853	41763	gene		
			locus_tag	LWC14_00337
39853	41763	CDS		
			product	UV radiation resistance protein and autophagy-related subunit 14, putative
112176	117365	gene		
			locus_tag	LWC14_00338
112176	117365	CDS		
			product	hypothetical protein, conserved
64196	66949	gene		
			locus_tag	LWC14_00339
64196	66949	CDS		
			product	hypothetical protein
26059	28455	gene		
			locus_tag	LWC14_00340
26059	28455	CDS		
			product	Meiotic cell cortex C-terminal pleckstrin homology, putative
80445	80945	gene		
			locus_tag	LWC14_00341
80445	80945	CDS		
			product	succinate dehydrogenase subunit
72823	74361	gene		
			locus_tag	LWC14_00342
72823	74361	CDS		
			product	hypothetical protein, conserved
16999	17781	gene		
			locus_tag	LWC14_00343
16999	17781	CDS		
			product	hypothetical protein
19509	21842	gene		
			locus_tag	LWC14_00344
19509	21842	CDS		
			product	transcription elongation factor SPT5, putative
104411	107512	gene		
			locus_tag	LWC14_00345
104411	107512	CDS		
			product	2'-O-ribose RNA methyltransferase SPB1 homolog
117934	120996	gene		
			locus_tag	LWC14_00346
117934	120996	CDS		
			product	cdc2-related kinase 9
165332	166921	gene		
			locus_tag	LWC14_00347
165332	166921	CDS		
			product	Phosphoenolpyruvate carboxykinase [ATP], glycosomal
172518	174098	gene		
			locus_tag	LWC14_00348
172518	174098	CDS		
			product	Phosphoenolpyruvate carboxykinase [ATP], glycosomal
12043	13221	gene		
			locus_tag	LWC14_00349
12043	13221	CDS		
			product	GTP binding protein, putative
108414	108911	gene		
			locus_tag	LWC14_00350
108414	108911	CDS		
			product	Small nuclear ribonucleoprotein-associated protein B (snRNP-B) (Sm protein B) (Sm-B) (SmB), putative
122905	123474	gene		
			locus_tag	LWC14_00351
122905	123474	CDS		
			product	hypothetical protein, conserved
87501	88625	gene		
			locus_tag	LWC14_00352
87501	88625	CDS		
			product	ribonucleoside-diphosphate reductase small chain
18333	18911	gene		
			locus_tag	LWC14_00353
18333	18911	CDS		
			product	MORN repeat, putative
109803	111080	gene		
			locus_tag	LWC14_00354
109803	111080	CDS		
			product	hypothetical protein, conserved
137723	139672	gene		
			locus_tag	LWC14_00355
137723	139672	CDS		
			product	trypanothione synthetase
22503	25370	gene		
			locus_tag	LWC14_00356
22503	25370	CDS		
			product	acyl-CoA oxidase, putative
37389	37904	gene		
			locus_tag	LWC14_00357
37904	37389	CDS		
			product	hypothetical protein
132140	134098	gene		
			locus_tag	LWC14_00358
132140	134098	CDS		
			product	double-strand break repair protein MRE11
55913	56602	gene		
			locus_tag	LWC14_00359
55913	56602	CDS		
			product	Component of motile flagella 5
57575	60661	gene		
			locus_tag	LWC14_00360
57575	60661	CDS		
			product	Component of motile flagella 5
156130	158595	gene		
			locus_tag	LWC14_00361
156130	158595	CDS		
			product	hypothetical protein
159350	164386	gene		
			locus_tag	LWC14_00362
159350	164386	CDS		
			product	antigenic protein, putative
98877	99542	gene		
			locus_tag	LWC14_00363
98877	99542	CDS		
			product	UNC119
100769	103828	gene		
			locus_tag	LWC14_00364
100769	103828	CDS		
			product	Rab-GTPase-TBC domain containing protein, putative
42878	50686	gene		
			locus_tag	LWC14_00365
42878	50686	CDS		
			product	hypothetical protein, conserved
51073	52131	gene		
			locus_tag	LWC14_00366
51073	52131	CDS		
			product	mitochondrial ribosomal protein l11
52620	53399	gene		
			locus_tag	LWC14_00367
52620	53399	CDS		
			product	Phosducin, putative
145856	147055	gene		
			locus_tag	LWC14_00368
145856	147055	CDS		
			product	kinetoplastid-specific dual specificity phosphatase, putative
148171	151821	gene		
			locus_tag	LWC14_00369
148171	151821	CDS		
			product	kinetoplastid-specific dual specificity phosphatase, putative
152589	154199	gene		
			locus_tag	LWC14_00370
152589	154199	CDS		
			product	GTP binding protein, putative
6142	7839	gene		
			locus_tag	LWC14_00371
6142	7839	CDS		
			product	hypothetical protein
9349	11226	gene		
			locus_tag	LWC14_00372
9349	11226	CDS		
			product	hypothetical protein
90526	91185	gene		
			locus_tag	LWC14_00373
90526	91185	CDS		
			product	Transmembrane adaptor Erv26, putative
91975	93126	gene		
			locus_tag	LWC14_00374
91975	93126	CDS		
			product	branched-chain amino acid aminotransferase, putative
83345	85060	gene		
			locus_tag	LWC14_00375
83345	85060	CDS		
			product	hypothetical protein, conserved
85552	86367	gene		
			locus_tag	LWC14_00376
85552	86367	CDS		
			product	hypothetical protein
61890	63056	gene		
			locus_tag	LWC14_00377
61890	63056	CDS		
			product	hypothetical protein, conserved
63489	63671	gene		
			locus_tag	LWC14_00378
63489	63671	CDS		
			product	hypothetical protein
>Feature	Ctg67_length_60273			
37554	38750	gene		
			locus_tag	LWC14_00379
38750	37554	CDS		
			product	Chaperone protein DnaJ 2
34292	35308	gene		
			locus_tag	LWC14_00380
35308	34292	CDS		
			product	aldo-keto reductase, putative
22869	23333	gene		
			locus_tag	LWC14_00381
23333	22869	CDS		
			product	hypothetical protein, conserved
47924	49390	gene		
			locus_tag	LWC14_00382
49390	47924	CDS		
			product	hypothetical protein
26002	27963	gene		
			locus_tag	LWC14_00383
27963	26002	CDS		
			product	calcium/calmodulin-dependent protein kinase, putative
45106	46302	gene		
			locus_tag	LWC14_00384
46302	45106	CDS		
			product	hypothetical protein, conserved
53059	54798	gene		
			locus_tag	LWC14_00385
54798	53059	CDS		
			product	UDP-n-acetylglucosamine pyrophosphorylase
39949	42144	gene		
			locus_tag	LWC14_00386
42144	39949	CDS		
			product	TPR-repeat protein, putative
24117	24557	gene		
			locus_tag	LWC14_00387
24557	24117	CDS		
			product	pre-mRNA splicing factor 19
32964	33947	gene		
			locus_tag	LWC14_00388
33947	32964	CDS		
			product	Homologous-pairing protein 2 homolog
42559	42888	gene		
			locus_tag	LWC14_00389
42888	42559	CDS		
			product	hypothetical protein
43550	44062	gene		
			locus_tag	LWC14_00390
44062	43550	CDS		
			product	hypothetical protein, conserved
7146	8228	gene		
			locus_tag	LWC14_00391
8228	7146	CDS		
			product	hypothetical protein
8795	11731	gene		
			locus_tag	LWC14_00392
11731	8795	CDS		
			product	dynein heavy chain, putative
28470	29324	gene		
			locus_tag	LWC14_00393
29324	28470	CDS		
			product	CAMK family pseudokinase, putative
30029	30883	gene		
			locus_tag	LWC14_00394
30883	30029	CDS		
			product	hypothetical protein, conserved
31325	32047	gene		
			locus_tag	LWC14_00395
32047	31325	CDS		
			product	beta-ketoacyl-ACP reductase
>Feature	Ctg42_length_401095			
300146	304192	gene		
			locus_tag	LWC14_00396
304192	300146	CDS		
			product	protein transport protein SEC23
210042	212066	gene		
			locus_tag	LWC14_00397
210042	212066	CDS		
			product	ABC1 family, putative
9713	10579	gene		
			locus_tag	LWC14_00398
10579	9713	CDS		
			product	hypothetical protein
197169	198329	gene		
			locus_tag	LWC14_00399
197169	198329	CDS		
			product	hypothetical protein
243299	244393	gene		
			locus_tag	LWC14_00400
244393	243299	CDS		
			product	glycerol-3-phosphate dehydrogenase [NAD+], glycosomal
47751	48446	gene		
			locus_tag	LWC14_00401
47751	48446	CDS		
			product	small GTP-binding protein Rab7, putative
245978	268756	gene		
			locus_tag	LWC14_00402
268756	245978	CDS		
			product	hypothetical protein, conserved
